timestamp,beats per minute,data source
2025-12-01T19:21:46Z,102.0,Inspire 3
2025-12-01T19:21:48Z,100.0,Inspire 3
2025-12-01T19:21:50Z,101.0,Inspire 3
2025-12-01T19:21:52Z,102.0,Inspire 3
2025-12-01T19:21:55Z,102.0,Inspire 3
2025-12-01T19:21:58Z,102.0,Inspire 3
2025-12-01T19:22:00Z,101.0,Inspire 3
2025-12-01T19:22:02Z,102.0,Inspire 3
2025-12-01T19:22:04Z,101.0,Inspire 3
2025-12-01T19:22:06Z,100.0,Inspire 3
2025-12-01T19:22:08Z,101.0,Inspire 3
2025-12-01T19:22:11Z,102.0,Inspire 3
2025-12-01T19:22:13Z,101.0,Inspire 3
2025-12-01T19:22:15Z,100.0,Inspire 3
2025-12-01T19:22:18Z,100.0,Inspire 3
2025-12-01T19:22:21Z,99.0,Inspire 3
2025-12-01T19:22:23Z,98.0,Inspire 3
2025-12-01T19:22:26Z,98.0,Inspire 3
2025-12-01T19:22:29Z,99.0,Inspire 3
2025-12-01T19:22:31Z,101.0,Inspire 3
2025-12-01T19:22:34Z,102.0,Inspire 3
2025-12-01T19:22:36Z,101.0,Inspire 3
2025-12-01T19:22:38Z,100.0,Inspire 3
2025-12-01T19:22:40Z,99.0,Inspire 3
2025-12-01T19:22:43Z,99.0,Inspire 3
2025-12-01T19:22:46Z,98.0,Inspire 3
2025-12-01T19:22:48Z,99.0,Inspire 3
2025-12-01T19:22:50Z,98.0,Inspire 3
2025-12-01T20:19:12Z,99.0,Inspire 3
2025-12-01T20:19:14Z,100.0,Inspire 3
2025-12-01T20:19:16Z,99.0,Inspire 3
2025-12-01T20:19:18Z,100.0,Inspire 3
2025-12-01T20:19:21Z,100.0,Inspire 3
2025-12-01T20:19:22Z,99.0,Inspire 3
2025-12-01T20:19:25Z,99.0,Inspire 3
2025-12-01T20:19:26Z,98.0,Inspire 3
2025-12-01T20:19:28Z,99.0,Inspire 3
2025-12-01T20:19:30Z,100.0,Inspire 3
2025-12-01T20:19:32Z,99.0,Inspire 3
2025-12-01T20:19:35Z,99.0,Inspire 3
2025-12-01T20:19:36Z,101.0,Inspire 3
2025-12-01T20:21:21Z,96.0,Inspire 3
2025-12-01T20:21:24Z,96.0,Inspire 3
2025-12-01T20:21:25Z,99.0,Inspire 3
2025-12-01T20:21:27Z,98.0,Inspire 3
2025-12-01T20:21:29Z,100.0,Inspire 3
2025-12-01T20:21:31Z,101.0,Inspire 3
2025-12-01T20:21:34Z,101.0,Inspire 3
2025-12-01T20:21:36Z,100.0,Inspire 3
2025-12-01T20:21:39Z,100.0,Inspire 3
2025-12-01T20:21:40Z,101.0,Inspire 3
2025-12-01T20:21:42Z,102.0,Inspire 3
2025-12-01T20:21:44Z,101.0,Inspire 3
2025-12-01T20:21:46Z,103.0,Inspire 3
2025-12-01T20:21:48Z,102.0,Inspire 3
2025-12-01T20:21:50Z,103.0,Inspire 3
2025-12-01T20:21:52Z,102.0,Inspire 3
2025-12-01T20:21:54Z,100.0,Inspire 3
2025-12-01T20:21:57Z,100.0,Inspire 3
2025-12-01T20:22:00Z,100.0,Inspire 3
2025-12-01T20:22:01Z,99.0,Inspire 3
2025-12-01T20:22:03Z,100.0,Inspire 3
2025-12-01T20:22:06Z,100.0,Inspire 3
2025-12-01T20:22:09Z,101.0,Inspire 3
2025-12-01T20:22:12Z,101.0,Inspire 3
2025-12-01T20:22:15Z,101.0,Inspire 3
2025-12-01T20:22:17Z,102.0,Inspire 3
2025-12-01T20:22:19Z,101.0,Inspire 3
2025-12-01T20:22:21Z,102.0,Inspire 3
2025-12-01T20:22:23Z,101.0,Inspire 3
2025-12-01T20:22:24Z,100.0,Inspire 3
2025-12-01T20:22:26Z,99.0,Inspire 3
2025-12-01T20:22:28Z,98.0,Inspire 3
2025-12-01T20:22:30Z,99.0,Inspire 3
2025-12-01T20:22:33Z,99.0,Inspire 3
2025-12-01T20:22:36Z,98.0,Inspire 3
2025-12-01T20:22:38Z,99.0,Inspire 3
2025-12-01T20:22:40Z,100.0,Inspire 3
2025-12-01T20:22:42Z,99.0,Inspire 3
2025-12-01T20:22:44Z,101.0,Inspire 3
2025-12-01T20:22:46Z,99.0,Inspire 3
2025-12-01T20:22:49Z,102.0,Inspire 3
2025-12-01T20:22:51Z,101.0,Inspire 3
2025-12-01T20:22:53Z,100.0,Inspire 3
2025-12-01T20:22:55Z,101.0,Inspire 3
2025-12-01T20:22:57Z,102.0,Inspire 3
2025-12-01T20:23:00Z,102.0,Inspire 3
2025-12-01T20:23:01Z,101.0,Inspire 3
2025-12-01T20:23:04Z,101.0,Inspire 3
2025-12-01T20:23:05Z,100.0,Inspire 3
2025-12-01T20:23:07Z,101.0,Inspire 3
2025-12-01T20:23:10Z,101.0,Inspire 3
2025-12-01T20:23:11Z,95.0,Inspire 3
2025-12-01T20:23:12Z,97.0,Inspire 3
2025-12-01T20:23:14Z,100.0,Inspire 3
2025-12-01T20:23:16Z,99.0,Inspire 3
2025-12-01T20:23:19Z,99.0,Inspire 3
2025-12-01T20:23:20Z,97.0,Inspire 3
2025-12-01T20:23:22Z,95.0,Inspire 3
2025-12-01T20:23:24Z,98.0,Inspire 3
2025-12-01T20:23:26Z,96.0,Inspire 3
2025-12-01T20:23:28Z,88.0,Inspire 3
2025-12-01T20:23:30Z,92.0,Inspire 3
2025-12-01T20:23:32Z,95.0,Inspire 3
2025-12-01T20:23:35Z,94.0,Inspire 3
2025-12-01T20:23:37Z,96.0,Inspire 3
2025-12-01T20:23:39Z,92.0,Inspire 3
2025-12-01T20:23:42Z,92.0,Inspire 3
2025-12-01T20:23:45Z,85.0,Inspire 3
2025-12-01T20:23:47Z,91.0,Inspire 3
2025-12-01T20:23:49Z,95.0,Inspire 3
2025-12-01T20:23:51Z,92.0,Inspire 3
2025-12-01T20:23:53Z,94.0,Inspire 3
2025-12-01T20:23:55Z,92.0,Inspire 3
2025-12-01T20:23:57Z,90.0,Inspire 3
2025-12-01T20:24:00Z,90.0,Inspire 3
2025-12-01T20:24:02Z,88.0,Inspire 3
2025-12-01T20:24:04Z,90.0,Inspire 3
2025-12-01T20:24:06Z,92.0,Inspire 3
2025-12-01T20:24:08Z,89.0,Inspire 3
2025-12-01T20:24:10Z,91.0,Inspire 3
2025-12-01T20:24:12Z,88.0,Inspire 3
2025-12-01T20:24:14Z,87.0,Inspire 3
2025-12-01T20:24:16Z,90.0,Inspire 3
2025-12-01T20:24:18Z,89.0,Inspire 3
2025-12-01T20:24:20Z,84.0,Inspire 3
2025-12-01T20:24:23Z,87.0,Inspire 3
2025-12-01T20:24:25Z,86.0,Inspire 3
2025-12-01T20:24:27Z,84.0,Inspire 3
2025-12-01T20:24:29Z,85.0,Inspire 3
2025-12-01T20:24:32Z,85.0,Inspire 3
2025-12-01T20:24:33Z,90.0,Inspire 3
2025-12-01T20:24:35Z,87.0,Inspire 3
2025-12-01T20:24:38Z,87.0,Inspire 3
2025-12-01T20:24:39Z,89.0,Inspire 3
2025-12-01T20:24:41Z,90.0,Inspire 3
2025-12-01T20:24:43Z,86.0,Inspire 3
2025-12-01T20:24:45Z,83.0,Inspire 3
2025-12-01T20:24:48Z,82.0,Inspire 3
2025-12-01T20:24:50Z,81.0,Inspire 3
2025-12-01T20:24:52Z,79.0,Inspire 3
2025-12-01T20:24:54Z,77.0,Inspire 3
2025-12-01T20:24:56Z,78.0,Inspire 3
2025-12-01T20:24:58Z,77.0,Inspire 3
2025-12-01T20:25:00Z,78.0,Inspire 3
2025-12-01T20:25:02Z,77.0,Inspire 3
2025-12-01T20:25:04Z,76.0,Inspire 3
2025-12-01T20:25:06Z,77.0,Inspire 3
2025-12-01T20:25:08Z,79.0,Inspire 3
2025-12-01T20:25:10Z,77.0,Inspire 3
2025-12-01T20:25:11Z,75.0,Inspire 3
2025-12-01T20:25:13Z,80.0,Inspire 3
2025-12-01T20:25:16Z,80.0,Inspire 3
2025-12-01T20:25:17Z,79.0,Inspire 3
2025-12-01T20:25:19Z,78.0,Inspire 3
2025-12-01T20:25:22Z,78.0,Inspire 3
2025-12-01T20:25:23Z,77.0,Inspire 3
2025-12-01T20:25:25Z,84.0,Inspire 3
2025-12-01T20:25:27Z,79.0,Inspire 3
2025-12-01T20:25:29Z,77.0,Inspire 3
2025-12-01T20:25:31Z,78.0,Inspire 3
2025-12-01T20:25:33Z,77.0,Inspire 3
2025-12-01T20:25:35Z,78.0,Inspire 3
2025-12-01T20:25:36Z,79.0,Inspire 3
2025-12-01T20:25:38Z,82.0,Inspire 3
2025-12-01T20:25:41Z,82.0,Inspire 3
2025-12-01T20:25:42Z,81.0,Inspire 3
2025-12-01T20:25:44Z,80.0,Inspire 3
2025-12-01T20:25:46Z,77.0,Inspire 3
2025-12-01T20:25:49Z,77.0,Inspire 3
2025-12-01T20:25:52Z,78.0,Inspire 3
2025-12-01T20:25:55Z,78.0,Inspire 3
2025-12-01T20:25:56Z,77.0,Inspire 3
2025-12-01T20:25:58Z,76.0,Inspire 3
2025-12-01T20:25:59Z,78.0,Inspire 3
2025-12-01T20:26:01Z,76.0,Inspire 3
2025-12-01T20:26:03Z,75.0,Inspire 3
2025-12-01T20:26:05Z,78.0,Inspire 3
2025-12-01T20:26:07Z,77.0,Inspire 3
2025-12-01T20:26:09Z,79.0,Inspire 3
2025-12-01T20:26:11Z,77.0,Inspire 3
2025-12-01T20:26:13Z,76.0,Inspire 3
2025-12-01T20:26:16Z,76.0,Inspire 3
2025-12-01T20:26:17Z,79.0,Inspire 3
2025-12-01T20:26:19Z,75.0,Inspire 3
2025-12-01T20:26:21Z,74.0,Inspire 3
2025-12-01T20:26:23Z,75.0,Inspire 3
2025-12-01T20:26:24Z,77.0,Inspire 3
2025-12-01T20:26:26Z,79.0,Inspire 3
2025-12-01T20:26:28Z,78.0,Inspire 3
2025-12-01T20:26:31Z,78.0,Inspire 3
2025-12-01T20:26:34Z,79.0,Inspire 3
2025-12-01T20:26:36Z,78.0,Inspire 3
2025-12-01T20:26:38Z,76.0,Inspire 3
2025-12-01T20:26:40Z,75.0,Inspire 3
2025-12-01T20:26:42Z,77.0,Inspire 3
2025-12-01T20:26:45Z,77.0,Inspire 3
2025-12-01T20:26:46Z,76.0,Inspire 3
2025-12-01T20:26:47Z,75.0,Inspire 3
2025-12-01T20:26:50Z,75.0,Inspire 3
2025-12-01T20:26:51Z,76.0,Inspire 3
2025-12-01T20:26:53Z,74.0,Inspire 3
2025-12-01T20:26:56Z,74.0,Inspire 3
2025-12-01T20:26:57Z,74.0,Inspire 3
2025-12-01T20:26:59Z,79.0,Inspire 3
2025-12-01T20:27:01Z,82.0,Inspire 3
2025-12-01T20:27:03Z,76.0,Inspire 3
2025-12-01T20:27:05Z,75.0,Inspire 3
2025-12-01T20:27:08Z,75.0,Inspire 3
2025-12-01T20:27:11Z,73.0,Inspire 3
2025-12-01T20:27:12Z,74.0,Inspire 3
2025-12-01T20:27:14Z,76.0,Inspire 3
2025-12-01T20:27:16Z,81.0,Inspire 3
2025-12-01T20:27:18Z,89.0,Inspire 3
2025-12-01T20:27:20Z,82.0,Inspire 3
2025-12-01T20:27:22Z,80.0,Inspire 3
2025-12-01T20:27:25Z,80.0,Inspire 3
2025-12-01T20:27:26Z,78.0,Inspire 3
